hash,class_changed,method_changed,statement_changed,total_revision
"Diff(project=classgraph/classgraph, old_sha=fcd0f47ede4bce96656bd31cc47b6a929d585c32, new_sha=e6568f3e7c8eb582303da621680549f9f560428b, old_path=src/main/java/nonapi/io/github/classgraph/classpath/ClasspathOrder.java, new_path=src/main/java/nonapi/io/github/classgraph/classpath/ClasspathOrder.java, old_lines=[332], new_lines=[343], category=ONE_TO_ONE)",40,5,3,854
"Diff(project=classgraph/classgraph, old_sha=c2c7b71ae8e2d109061f7c0d18baf3269c0e0909, new_sha=a8bbe83be85601e45ef10d78bfca928660c5864b, old_path=src/main/java/nonapi/io/github/classgraph/utils/InputStreamOrByteBufferAdapter.java, new_path=src/main/java/nonapi/io/github/classgraph/utils/InputStreamOrByteBufferAdapter.java, old_lines=[364], new_lines=[363], category=ONE_TO_ONE)",2,1,1,160
"Diff(project=classgraph/classgraph, old_sha=c2c7b71ae8e2d109061f7c0d18baf3269c0e0909, new_sha=a8bbe83be85601e45ef10d78bfca928660c5864b, old_path=src/main/java/nonapi/io/github/classgraph/utils/InputStreamOrByteBufferAdapter.java, new_path=src/main/java/nonapi/io/github/classgraph/utils/InputStreamOrByteBufferAdapter.java, old_lines=[371], new_lines=[370], category=ONE_TO_ONE)",2,1,1,160
"Diff(project=tommyettinger/RegExodus, old_sha=22f8f8ae0a38b9d005e434dc47c46673ce2fd7c0, new_sha=d943cd4ce233bfce6453fb1ed133f2a7220bdaaa, old_path=src/main/java/regexodus/ds/IntBitSet.java, new_path=src/main/java/regexodus/ds/IntBitSet.java, old_lines=[160], new_lines=[160], category=ONE_TO_ONE)",6,2,2,71
"Diff(project=tommyettinger/RegExodus, old_sha=22f8f8ae0a38b9d005e434dc47c46673ce2fd7c0, new_sha=d943cd4ce233bfce6453fb1ed133f2a7220bdaaa, old_path=src/main/java/regexodus/ds/IntBitSet.java, new_path=src/main/java/regexodus/ds/IntBitSet.java, old_lines=[172], new_lines=[172], category=ONE_TO_ONE)",6,2,2,71
"Diff(project=tommyettinger/RegExodus, old_sha=79b5a28d29fa23b7a9fcdceffe15b6407d12a99e, new_sha=ad9bc32658ce0d87d87969200de1193a7b2a2a82, old_path=src/main/java/regexodus/Category.java, new_path=src/main/java/regexodus/Category.java, old_lines=[34], new_lines=[33], category=ONE_TO_ONE)",27,3,3,74
"Diff(project=3redronin/mu-server, old_sha=e4c45343d87ffe43a0d26280323df7cdfa3cf6f4, new_sha=f8009f50fe06c1537e32aefdb010b00268a73c97, old_path=src/main/java/ronin/muserver/rest/CombinedMediaType.java, new_path=src/main/java/ronin/muserver/rest/CombinedMediaType.java, old_lines=[40], new_lines=[40], category=ONE_TO_ONE)",1,1,1,9
"Diff(project=3redronin/mu-server, old_sha=e4c45343d87ffe43a0d26280323df7cdfa3cf6f4, new_sha=f8009f50fe06c1537e32aefdb010b00268a73c97, old_path=src/main/java/ronin/muserver/rest/CombinedMediaType.java, new_path=src/main/java/ronin/muserver/rest/CombinedMediaType.java, old_lines=[43], new_lines=[43], category=ONE_TO_ONE)",1,1,1,9
"Diff(project=3redronin/mu-server, old_sha=ed5e040ca4cf9d53a916a416addaac8a70dc7a72, new_sha=b3322acf9098ff187bf39b0b33a4a66c2462a7da, old_path=src/main/java/io/muserver/openapi/OpenAPIObject.java, new_path=src/main/java/io/muserver/openapi/OpenAPIObject.java, old_lines=[27], new_lines=[60], category=ONE_TO_ONE)",2,0,0,550
"Diff(project=jcodec/jcodec, old_sha=73b692e9b03bd834e21335088b4144177bc5603c, new_sha=06381febbe57d12ebfd7f4eef5910eb990319382, old_path=src/main/java/org/jcodec/containers/mp4/MP4Util.java, new_path=src/main/java/org/jcodec/containers/mp4/MP4Util.java, old_lines=[224], new_lines=[224], category=ONE_TO_ONE)",9,1,1,421
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/net/sourceforge/jaad/aac/error/RVLC.java, new_path=src/main/java/net/sourceforge/jaad/aac/error/RVLC.java, old_lines=[127], new_lines=[127], category=ONE_TO_ONE)",0,0,0,346
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/net/sourceforge/jaad/aac/huffman/Huffman.java, new_path=src/main/java/net/sourceforge/jaad/aac/huffman/Huffman.java, old_lines=[32], new_lines=[32], category=ONE_TO_ONE)",1,1,1,423
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/net/sourceforge/jaad/aac/huffman/Huffman.java, new_path=src/main/java/net/sourceforge/jaad/aac/huffman/Huffman.java, old_lines=[52], new_lines=[52], category=ONE_TO_ONE)",1,1,1,423
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/org/jcodec/codecs/aac/blocks/BlockCCE.java, new_path=src/main/java/org/jcodec/codecs/aac/blocks/BlockCCE.java, old_lines=[59], new_lines=[59], category=ONE_TO_ONE)",0,0,0,346
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/org/jcodec/codecs/aac/blocks/BlockICS.java, new_path=src/main/java/org/jcodec/codecs/aac/blocks/BlockICS.java, old_lines=[148], new_lines=[148], category=ONE_TO_ONE)",2,0,0,346
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/org/jcodec/codecs/aac/blocks/BlockICS.java, new_path=src/main/java/org/jcodec/codecs/aac/blocks/BlockICS.java, old_lines=[435], new_lines=[435], category=ONE_TO_ONE)",2,0,0,346
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/org/jcodec/codecs/aac/blocks/BlockICS.java, new_path=src/main/java/org/jcodec/codecs/aac/blocks/BlockICS.java, old_lines=[478], new_lines=[478], category=ONE_TO_ONE)",2,0,0,346
"Diff(project=jcodec/jcodec, old_sha=4a08a46f9cd197d372d0c5b0ef563465d72ec237, new_sha=32db23055f989956754f51e4842491353c7f40dc, old_path=src/main/java/org/jcodec/codecs/common/biari/MDecoder.java, new_path=src/main/java/org/jcodec/codecs/common/biari/MDecoder.java, old_lines=[51], new_lines=[51], category=ONE_TO_ONE)",0,0,0,346
